,Champion,Winrate
0,Janna,53.97
1,Soraka,53.18
2,Sona,52.74
3,Nocturne,52.73
4,Fizz,52.64
5,Garen,52.61
6,Renata Glasc,52.55
7,Quinn,52.3
8,Shen,52.19
9,Vayne,52.18
10,Anivia,52.13
11,Kha'Zix,52.12
12,Aurelion Sol,52.1
13,Kayle,52.06
14,Akshan,51.93
15,Riven,51.87
16,Senna,51.82
17,Heimerdinger,51.81
18,Veigar,51.79
19,Cassiopeia,51.72
20,Neeko,51.67
21,Rammus,51.65
22,Shyvana,51.6
23,Singed,51.59
24,Nami,51.52
25,Ziggs,51.5
26,Vi,51.48
27,Ornn,51.48
28,Ashe,51.47
29,Zilean,51.45
30,Rek'Sai,51.45
31,Tahm Kench,51.45
32,Kled,51.42
33,Maokai,51.42
34,Blitzcrank,51.39
35,Illaoi,51.38
36,Ahri,51.36
37,Malzahar,51.35
38,Diana,51.33
39,Zac,51.3
40,Yorick,51.3
41,Jhin,51.29
42,Fiddlesticks,51.29
43,Warwick,51.28
44,Volibear,51.24
45,Kog'Maw,51.17
46,Trundle,51.13
47,Zyra,51.11
48,Lucian,51.01
49,Mordekaiser,51.01
50,Annie,51.01
51,Talon,50.91
52,Shaco,50.8
53,Malphite,50.78
54,Xayah,50.73
55,Twitch,50.71
56,Ekko,50.71
57,Sejuani,50.7
58,Zed,50.68
59,Lulu,50.65
60,Skarner,50.63
61,Dr. Mundo,50.62
62,Viktor,50.61
63,Nunu & Willump,50.58
64,Sett,50.57
65,Vladimir,50.54
66,Fiora,50.53
67,Kassadin,50.53
68,Urgot,50.53
69,Teemo,50.47
70,Tristana,50.45
71,Lissandra,50.45
72,Wukong,50.45
73,Taliyah,50.45
74,Aatrox,50.44
75,Cho'Gath,50.37
76,Qiyana,50.36
77,Camille,50.35
78,Kayn,50.33
79,Samira,50.29
80,Nautilus,50.22
81,Bard,50.18
82,Katarina,50.16
83,Kindred,50.16
84,Darius,50.06
85,Jinx,50.03
86,Hecarim,50.01
87,Pyke,49.99
88,Swain,49.98
89,Draven,49.96
90,Miss Fortune,49.92
91,Vel'Koz,49.91
92,Ivern,49.82
93,Rell,49.8
94,Lillia,49.76
95,Seraphine,49.67
96,Yasuo,49.66
97,Vex,49.64
98,Lux,49.63
99,Xerath,49.6
100,Rengar,49.58
101,Brand,49.56
102,Evelynn,49.51
103,Elise,49.5
104,Braum,49.49
105,Irelia,49.46
106,Pantheon,49.45
107,Rumble,49.43
108,Sivir,49.42
109,Karma,49.38
110,Galio,49.38
111,Yone,49.35
112,Sylas,49.35
113,Jarvan IV,49.35
114,Udyr,49.33
115,Nasus,49.29
116,Master Yi,49.25
117,Alistar,49.25
118,Tryndamere,49.23
119,Poppy,49.16
120,Yuumi,49.09
121,Morgana,49.04
122,Karthus,49.03
123,Akali,48.99
124,Amumu,48.98
125,Taric,48.98
126,Xin Zhao,48.96
127,Viego,48.95
128,Zoe,48.91
129,Rakan,48.86
130,Graves,48.66
131,Jax,48.53
132,Gnar,48.51
133,Sion,48.31
134,Caitlyn,48.15
135,Gragas,48.13
136,Leona,48.1
137,Orianna,48.0
138,Kai'Sa,47.89
139,Syndra,47.85
140,Ezreal,47.77
141,Twisted Fate,47.69
142,Zeri,47.65
143,Kalista,47.64
144,Gangplank,47.58
145,Nidalee,47.54
146,Kennen,47.52
147,Renekton,47.32
148,LeBlanc,47.26
149,Varus,47.04
150,Lee Sin,47.02
151,Azir,46.55
152,Corki,46.35
153,Thresh,46.28
154,Jayce,46.23
155,Olaf,46.02
156,Gwen,44.36
157,Aphelios,43.58
158,Ryze,43.14
